soucename,source,village,district,eastings,nothings,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bicarbonates,total_hardness,CalciumHardardness,magnesium_hardness,fluoride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p
Kilikwani tap,Tap,Bugembe,Jinja,526362,51478,1.1072753,34.2137988,0,6.9,103,2.34,22,0,43,0,33,18,0,0.26236,0,4.10009,0.01509,0.3225,0.16075,0.03779
Ndiba Roseline tap,Tap,Masese,Jinja,526349,49702,0.45,33.233333,0,6.7,111,2.23,20,0,48,0,35,19,0,0.22605,0,3.72661,0.00318,2.49162,0.002,0.09726
Musisi bad man tap,Tap,Masese,Jinja,526921,48543,0.45,33.233333,0,6.8,101,2.92,15,0,41,0,27,19,0,0.25573,0,4.27461,0.0076,0.51466,0.03963,0.05778
Jinja college Borehole,BoreHole,Rubaga hill,Jinja,523658,49584,0.3024987,32.5520165,0,6.6,648,2.12,4,0,175,0,310,125,0,0.6697,0,69.27158,0.00678,6.686,0.002,0.99905
Mpumudde mosque B/H,BoreHole,Mpumudde,Jinja,523831,51559,0.467222,33.2025,0,6.8,1041,3.48,27,0,320,0,430,230,0,0.681,0,62.21922,0.08142,17.75154,0.02197,0.05519
Mawuta B/H C046,BoreHole,Mawuta,Jinja,524050,54463,0.5003464,33.2263419,0,6.9,1393,6.25,75,0,350,0,730,400,0,0.31554,0,233.9129,0.01351,0.31634,0.002,0.11509
Nsube B/H,BoreHole,Nsube,Jinja,524435,61008,0.55,33.233333,0,6.5,492,1.91,1,0,230,0,220,105,0,0.26735,0,21.39238,0.00658,6.69617,0.002,0.04659
Mutai S/W,Others,Mutai,Jinja,524220,61707,0.55,33.216667,0,6,292,1.85,1,0,91,0,120,60,0,0.27796,0,27.93701,0.00355,6.14984,0.04345,0.11088
Mutai police post tap,Tap,Mutai,Jinja,523590,62539,0.55,33.216667,0,6.7,106,2.11,11,0,41,0,36,16,0,0.29205,0,4.95072,0.00256,0.51079,0.02983,0.10657
Kagoma protected spring,Protected Spring,Kagoma,Jinja,522300,65456,1.1543899,30.753659,0,5.4,198,2.37,6,0,38,0,62,38,0,0.05172,0,14.85099,0.00502,7.59498,0.00394,0.02826
AGM Tap,Tap,Nalufenya,Jinja,521619,48543,1.1323864,33.695891,0,6.8,104,2.43,22,0,46,0,33,20,0,0.28131,0,4.89396,0.03649,0.22467,0.11817,0.02851
Shallow well at prison mosque@district HQ,Well,Butakanila,Bugiri,583492,60709,0.5551662,33.7409726,0,7,246,2.69,57,0,125,0,110,95,0,0.4069,0,5.12238,0.15106,0.71488,1.62681,0.29374
Buyubu Shallow well,Well,Buyubu,Bugiri,582815,59414,0.6120275,33.4231654,0,6.7,585,2.22,21,0,330,0,97,47,0,0.09621,0,11.87691,0.01788,0.38758,0.38375,0.52461
Kikabala Primary School Borehole,BoreHole,Kikabala,Bugiri,582485,58571,0.527578,33.7398935,0,6.6,533,2.75,36,0,290,0,220,125,0,0.00564,0,4.48113,0.00224,0.27989,0.01781,0.16367
Lubila open well,Well,Lubila,Bugiri,583041,57880,0.05874,29.7212864,0,5.7,218,3.98,29,0,98,0,105,77,0,0.19449,0,7.09486,0.01352,2.28204,0.03977,0.02301
Bukonde protected spring,Protected Spring,Bukonde,Bugiri,585561,62233,1.05,33.533333,0,5.6,139,4.37,66,0,50,0,48,29,0,0.24617,0,3.92465,0.00315,5.32393,0.01966,0.01978
Namasele Shallow wll,Well,Nawambidi,Bugiri,593155,57813,1.25,32.5,0,6.8,376,2.05,18,0,165,0,145,105,0,0.43464,0,10.16964,0.00844,4.51209,0.03491,0.07286
Galidde Simon PSP,Others,Nawambidi a,Bugiri,592960,57742,1.25,32.5,0,6.6,692,1.84,4,0,360,0,300,165,0,0.43982,0,31.55526,0.01605,2.52018,0.01546,0.33127
Abdul PSP,Others,Namayemba,Bugiri,589049,56897,0.5140815,33.7995993,0,6.6,694,1.87,2,0,350,0,300,185,0,0.36287,0,26.91282,0.00584,2.44874,0.02757,0.09782
Owino Ben protected spring,Protected Spring,Namayemba east,Bugiri,587948,58204,0.5249402,33.7989482,0,5.8,208,2.39,16,0,77,0,90,60,0,0.32835,0,3.23099,0.00516,4.91619,0.002,0.12485
Gamulunguka protected spring,Protected Spring,Ndifakulya,Bugiri,582906,63846,0.5859329,33.7372568,0,4.9,255,2.03,2,0,20,0,75,33,0,0.08023,0,4.55691,0.00356,15.90426,0.002,0.13348
Mugoya Ayub Shallow well,Well,Ndifakulya,Bugiri,582857,63591,0.5859329,33.7372568,0,4.9,166,2.39,12,0,17,0,48,24,0,0.0064,0,1.10713,0.04979,10.31733,0.04933,0.02928
Kimombasa Kiosk PSP,Others,Kimombasa,Bugiri,582819,63213,0.5714885,33.7435662,0,7.2,532,5.86,88,0,280,0,87,39,0,0.48323,0,14.4673,0.00054,2.17129,0.002,0.27431
Kimombasa Kiosk PSP,Others,Musongola,Bugiri,583153,61851,0.5604421,33.7460602,0,5.2,154,2.49,4,0,31,0,57,31,0,0.10689,0,1.37298,0.01351,7.40649,0.0101,0.04595
"Magafira ,mosque Shallow well",Well,Masaba igenge,Iganga,547731,64050,1.25,32.5,0,4.9,162,1.67,1,0,12,0,26,15,0,0.12436,0,38.72499,0.00502,4.28754,0.10471,0.02535
CMS shallow well,Well,Cms,Iganga,550339,65890,1.25,32.5,0,5.3,384,1.74,6,0,31,0,110,69,0,0.09494,0,10.72362,0.05365,19.27067,0.02561,0.10437
Resource centre Busoga University Borehole,BoreHole,Kasokoso estate,Iganga,552757,67752,0.6112459,33.4750727,0,6,926,1.85,2,0,110,0,250,170,0,0.12398,0,34.90636,0.19221,36.42471,2.03609,0.04292
Igulusa Shallow well,Well,Igulusa,Iganga,553164,70624,0.639617,33.4822843,0,5.4,240,2.71,12,0,58,0,75,48,0,0.18074,0,23.90872,0.0313,5.57916,0.08384,0.10178
Mukama protected spring,Protected Spring,Namungalwe t/c,Iganga,554297,78825,0.5,32,0,5.9,151,2.41,20,0,44,0,53,29,0,0.18223,0,1.89453,0.00573,8.13293,0.01444,0.05082
Nambale B/H,BoreHole,Nambale,Iganga,556071,86301,1.093476,34.2301422,0,6,231,1.94,19,0,92,0,67,34,0,0.23051,0,27.05817,0.00379,0.72995,0.03851,0.14343
Walumbe protected spring,Protected Spring,Nambale,Iganga,556034,86571,1.093476,34.2301422,0,5.6,218,2.09,17,0,20,0,65,37,0,0.28664,0,13.54606,0.00427,3.56057,0.04699,0.25885
Nabikoote Primary Sch Borehole DWD 24675,BoreHole,Nabikoote,Iganga,553607,77104,0.70208,33.4817715,0,5.2,108,1.91,3,0,33,0,27,9.6,0,0.05591,0,4.28733,0.00253,4.78982,0.002,0.08941
Busei Shallow well,Well,Busei,Iganga,555219,68380,0.6224292,33.5074195,0,5.4,276,1.85,2,0,48,0,50,30,0,0.08272,0,24.66327,0.00418,9.70475,0.002,0.03739
katwe protected spring,Protected Spring,Bumbajje,Mukono,484934,27298,1.25,32.5,0,4.7,55,2.26,13,0,13,0,37,9.4,0,0.05034,0,2.50244,0.00324,3.04827,0.00132,0.03042
Kiyoora health centre Borehole,BoreHole,Kiyoora,Mukono,484135,28694,-0.8455922,30.3400251,0,5.2,47,58.6,621,0,6.2,0,21,9.8,0,0.18287,0,8.28065,0.0018,0.15824,0.7069,0.13696
Bulonda protected spring MKN/04/231,Protected Spring,Bulonda,Mukono,480003,28177,0.433333,32.366667,0,4.5,90,1.92,2,0,5,0,13,7.8,0,0.08335,0,1.42719,0.00299,6.85782,0.002,0.02371
Katosi Borehole,BoreHole,Katosi,Mukono,477748,16822,-0.4905208,31.4455285,0,4.9,434,1.93,0.2432,0,8.4,0,67,44,0,0.09733,0,6.75086,0.00484,26.61152,0.0145,0.04084
Nakisunga protected spring MKN/04/395,Protected Spring,Nakisunga,Mukono,477209,31013,0.2859432,32.7884562,0,4.7,43,2.34,18,0,8.8,0,11,7.8,0,0.0809,0,1.58269,0.00234,1.82294,0.04734,0.01742
Oluzi lwa mulule protected spring,Protected Spring,Kisilamu,Mukono,475151,34025,1.25,32.5,0,4.8,96,2.1,5,0,17,0,24,13,0,0.11563,0,5.23856,0.00249,5.30713,0.00428,0.04775
